search_term,match_rank,loinc,loinc_url,status,long_common_name,short_name,class_type,component,property,time_aspect,system,scale_type,method_type,example_units,class
Serum Beta HCG,16,45194-8,https://loinc.org/45194-8,ACTIVE,Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma,HCG Intact+B SerPl-aCnc,1,Choriogonadotropin.intact+Beta subunit,ACnc,Pt,Ser/Plas,Qn,,mIU/mL,CHEM
Serum Beta HCG,17,93769-8,https://loinc.org/93769-8,ACTIVE,Choriogonadotropin.intact+Beta subunit [Mass/volume] in Serum or Plasma,HCG Intact+B SerPl-mCnc,1,Choriogonadotropin.intact+Beta subunit,MCnc,Pt,Ser/Plas,Qn,,ug/L,CHEM
Serum Beta HCG,18,106737-0,https://loinc.org/106737-0,ACTIVE,"Choriogonadotropin.intact+Beta subunit [Mass/volume] in Serum, Plasma or Blood by Rapid immunoassay",HCG Intact+B SerPlBld IA.rapid-mCnc,1,Choriogonadotropin.intact+Beta subunit,MCnc,Pt,Ser/Plas/Bld,Qn,IA.rapid,"IU/L, mIU/mL",CHEM
"Plasma Glucose, PP (2 Hr.)",1,1521-4,https://loinc.org/1521-4,ACTIVE,Glucose [Mass/volume] in Serum or Plasma --2 hours post meal,Glucose 2h p meal SerPl-mCnc,1,Glucose^2H post meal,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHAL.ROUTINE
"Plasma Glucose, PP (2 Hr.)",2,14761-1,https://loinc.org/14761-1,ACTIVE,Glucose [Moles/volume] in Serum or Plasma --2 hours post meal,Glucose 2h p meal SerPl-sCnc,1,Glucose^2H post meal,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
"Plasma Glucose, PP (2 Hr.)",3,95103-8,https://loinc.org/95103-8,ACTIVE,Glucose [Mass/volume] in Serum or Plasma --2.5 hours post meal,Glucose 2.5h p meal SerPl-mCnc,1,Glucose^2.5H post meal,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHAL
"Plasma Glucose, PP (2 Hr.)",4,80959-0,https://loinc.org/80959-0,ACTIVE,Glucose [Mass/volume] in Serum or Plasma --1.5 hours post meal,Glucose 1.5h p meal SerPl-mCnc,1,Glucose^1.5H post meal,MCnc,Pt,Ser/Plas,Qn,,mg/dl,CHAL
"Plasma Glucose, PP (2 Hr.)",5,44919-9,https://loinc.org/44919-9,ACTIVE,Glucose [Moles/volume] in Serum or Plasma --1.5 hours post meal,Glucose 1.5h p meal SerPl-sCnc,1,Glucose^1.5H post meal,SCnc,Pt,Ser/Plas,Qn,,mmol/L,CHAL
"Plasma Glucose, PP (2 Hr.)",6,77677-3,https://loinc.org/77677-3,ACTIVE,"Glucose [Moles/volume] in Serum, Plasma or Blood --2 hours post meal",Glucose 2h p meal SerPlBld-sCnc,1,Glucose^2H post meal,SCnc,Pt,Ser/Plas/Bld,Qn,,mmol/L,CHAL
"Plasma Glucose, PP (2 Hr.)",7,95107-9,https://loinc.org/95107-9,ACTIVE,Glucose [Mass/volume] in Serum or Plasma --4.5 hours post meal,Glucose 4.5h p meal SerPl-mCnc,1,Glucose^4.5H post meal,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHAL
BLEEDING TIME,1,11067-6,https://loinc.org/11067-6,ACTIVE,Bleeding time,Bleeding time Patient,1,Bleeding time,Time,Pt,^Patient,Qn,,min,COAG
BLEEDING TIME,3,3178-1,https://loinc.org/3178-1,ACTIVE,Bleeding time by Duke method,Bleeding time Patient Duke,1,Bleeding time,Time,Pt,^Patient,Qn,Duke,min,COAG
BLEEDING TIME,4,3179-9,https://loinc.org/3179-9,ACTIVE,Bleeding time by Ivy method,Bleeding time Patient Ivy,1,Bleeding time,Time,Pt,^Patient,Qn,Ivy,min,COAG
MCV (Mean Cell Volume ),1,30428-7,https://loinc.org/30428-7,ACTIVE,MCV [Entitic mean volume] in Red Blood Cells,RBC,1,Observation,EntMeanVol,Pt,RBC,Qn,,fL,HEM/BC
MCV (Mean Cell Volume ),2,47282-9,https://loinc.org/47282-9,ACTIVE,MCV [Entitic mean volume] in Cord blood,BldCo,1,Observation,EntMeanVol,Pt,RBC^BldCo,Qn,,fL,HEM/BC
MCV (Mean Cell Volume ),3,787-2,https://loinc.org/787-2,ACTIVE,MCV [Entitic mean volume] in Red Blood Cells by Automated count,RBC Auto,1,Observation,EntMeanVol,Pt,RBC,Qn,Automated count,fL,HEM/BC
MCV (Mean Cell Volume ),4,11272-2,https://loinc.org/11272-2,ACTIVE,MCV [Entitic mean volume] in Cord blood by Automated count,BldCo Auto,1,Observation,EntMeanVol,Pt,RBC^BldCo,Qn,Automated count,fL,HEM/BC
MCV (Mean Cell Volume ),5,62242-3,https://loinc.org/62242-3,ACTIVE,MCV [Entitic mean volume] in Red Blood Cells from Fetus by Automated count,RBC Fetus Auto,1,Observation,EntMeanVol,Pt,RBC^Fetus,Qn,Automated count,fL,HEM/BC
Insulin Fasting,2,95110-3,https://loinc.org/95110-3,ACTIVE,Insulin post fasting and meal stimulation panel - Serum or Plasma,Insulin p Cfst + meal Pnl SerPl,1,Insulin post fasting and meal stimulation panel,-,Pt,Ser/Plas,-,,,PANEL.CHAL
Insulin Fasting,5,102029-6,https://loinc.org/102029-6,ACTIVE,Somatotropin [Mass/volume] in Serum or Plasma --Fasting post dose insulin IV,GH^ post insulin IV post CFst SerPl-mCnc,1,Somatotropin^Fasting post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHAL
Insulin Fasting,7,27873-9,https://loinc.org/27873-9,ACTIVE,Insulin [Units/volume] in Serum or Plasma --fasting,Insulin p fast SerPl-aCnc,1,Insulin^post CFst,ACnc,Pt,Ser/Plas,Qn,,mIU/mL;uIU/mL,CHAL
Insulin Fasting,8,30363-6,https://loinc.org/30363-6,ACTIVE,Insulin [Units/volume] in Serum or Plasma --12 hours fasting,Insulin p 12h fast SerPl-aCnc,1,Insulin^post 12H CFst,ACnc,Pt,Ser/Plas,Qn,,mIU/mL;uIU/mL,CHAL
Insulin Fasting,9,59179-2,https://loinc.org/59179-2,ACTIVE,Insulin [Moles/volume] in Serum or Plasma --fasting,Insulin p fast SerPl-sCnc,1,Insulin^post CFst,SCnc,Pt,Ser/Plas,Qn,,pmol/L,CHAL
Insulin Fasting,11,1573-5,https://loinc.org/1573-5,ACTIVE,Insulin [Mass/volume] in Serum or Plasma --12 hours fasting,Insulin p 12h fast SerPl-mCnc,1,Insulin^post 12H CFst,MCnc,Pt,Ser/Plas,Qn,,ug/L,CHAL
Insulin Fasting,12,95080-8,https://loinc.org/95080-8,ACTIVE,C peptide post fasting and meal stimulation panel - Serum or Plasma,C peptide p Cfst + meal Pnl SerPl,1,C peptide post fasting and meal stimulation panel,-,Pt,Ser/Plas,-,,,PANEL.CHAL
Insulin Fasting,13,13037-7,https://loinc.org/13037-7,ACTIVE,C peptide [Mass/volume] in Serum or Plasma --fasting,C peptide p fast SerPl-mCnc,1,C peptide^post CFst,MCnc,Pt,Ser/Plas,Qn,,ng/mL,CHAL
Insulin Fasting,14,42180-0,https://loinc.org/42180-0,ACTIVE,C peptide [Moles/volume] in Serum or Plasma --fasting,C peptide p fast SerPl-sCnc,1,C peptide^post CFst,SCnc,Pt,Ser/Plas,Qn,,nmol/L,CHAL
Insulin Fasting,15,1397-9,https://loinc.org/1397-9,ACTIVE,Cortisol [Mass/volume] in Serum or Plasma --1.5 hours post 0.05-0.15 U insulin/kg IV 12 hours fasting,Cortis 1.5h p U/kg Ins IV SerPl-mCnc,1,Cortisol^1.5H post 0.05-0.15 U insulin/kg IV post 12H CFst,MCnc,Pt,Ser/Plas,Qn,,pg/mL;ug/dL,CHAL
Insulin Fasting,16,1493-6,https://loinc.org/1493-6,ACTIVE,Glucose [Mass/volume] in Serum or Plasma --1.5 hours post 0.05-0.15 U insulin/kg IV 12 hours fasting,Glucose 1.5h p U/kg Ins IV SerPl-mCnc,1,Glucose^1.5H post 0.05-0.15 U insulin/kg IV post 12H CFst,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHAL
Insulin Fasting,17,10451-3,https://loinc.org/10451-3,ACTIVE,Proinsulin [Moles/volume] in Serum or Plasma --12 hours fasting,Proinsulin p 12h fast SerPl-sCnc,1,Proinsulin^post 12H CFst,SCnc,Pt,Ser/Plas,Qn,,pmol/L,CHAL
Insulin Fasting,18,1414-2,https://loinc.org/1414-2,ACTIVE,Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 0.05-0.15 U insulin/kg IV post 12H CFst,Cortis 30M p U/kg Ins IV SerPl-mCnc,1,Cortisol^30M post 0.05-0.15 U insulin/kg IV post 12H CFst,MCnc,Pt,Ser/Plas,Qn,,pg/mL;ug/dL,CHAL
Insulin Fasting,19,1523-0,https://loinc.org/1523-0,ACTIVE,Glucose [Mass/volume] in Serum or Plasma --30 minutes post 0.05-0.15 U insulin/kg IV post 12H CFst,Glucose 30M p U/kg Ins IV SerPl-mCnc,1,Glucose^30M post 0.05-0.15 U insulin/kg IV post 12H CFst,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHAL
Insulin Fasting,20,1399-5,https://loinc.org/1399-5,ACTIVE,Cortisol [Mass/volume] in Serum or Plasma --1 hour post 0.05-0.15 U insulin/kg IV post 12H CFst,Cortis 1h p U/kg Ins IV SerPl-mCnc,1,Cortisol^1H post 0.05-0.15 U insulin/kg IV post 12H CFst,MCnc,Pt,Ser/Plas,Qn,,pg/mL;ug/dL,CHAL
Insulin Fasting,21,1500-8,https://loinc.org/1500-8,ACTIVE,Glucose [Mass/volume] in Serum or Plasma --1 hour post 0.05-0.15 U insulin/kg IV post 12H CFst,Glucose 1h p U/kg Ins IV SerPl-mCnc,1,Glucose^1H post 0.05-0.15 U insulin/kg IV post 12H CFst,MCnc,Pt,Ser/Plas,Qn,,mg/dL,CHAL
Fluid Protein,1,48424-6,https://loinc.org/48424-6,ACTIVE,Protein Fractions [Interpretation] in Body fluid,Prot Pattern Fld-Imp,1,Protein pattern,Imp,Pt,Body fld,Nom,,,CHEM
Fluid Protein,2,100795-4,https://loinc.org/100795-4,ACTIVE,S100 calcium binding protein B [Mass/volume] in Body fluid,S100 Ca binding protein B Fld-mCnc,1,S100 calcium binding protein B,MCnc,Pt,Body fld,Qn,,ug/L,CHEM
Fluid Protein,3,70267-0,https://loinc.org/70267-0,ACTIVE,Protein in peritoneal fluid/Protein in serum,Prot Prt/SerPl,1,Protein.periton fld/Protein.serum,RelRto,Pt,Periton fld+Ser/Plas,Qn,,Ratio,CHEM
Fluid Protein,4,49929-3,https://loinc.org/49929-3,ACTIVE,Protein in pleural fluid/Protein in serum,Prot Plr/SerPl,1,Protein.plr fld/Protein.serum,RelRto,Pt,Ser/Plas+Plr fld,Qn,,Ratio,CHEM
Fluid Protein,5,2882-9,https://loinc.org/2882-9,ACTIVE,Protein [Mass/volume] in Pleural fluid,Prot Plr-mCnc,1,Protein,MCnc,Pt,Plr fld,Qn,,g/L,CHEM
Fluid Protein,6,2881-1,https://loinc.org/2881-1,ACTIVE,Protein [Mass/volume] in Body fluid,Prot Fld-mCnc,1,Protein,MCnc,Pt,Body fld,Qn,,g/L;g/dL; mg/dL,CHEM
Fluid Protein,7,2883-7,https://loinc.org/2883-7,ACTIVE,Protein [Mass/volume] in Peritoneal fluid,Prot Prt-mCnc,1,Protein,MCnc,Pt,Periton fld,Qn,,g/L,CHEM
Fluid Protein,8,60224-3,https://loinc.org/60224-3,ACTIVE,Beta-trace protein [Mass/volume] in Nasal fluid,Beta-trace protein Nasal fluid-mCnc,1,Beta-trace protein,MCnc,Pt,Nasal fluid,Qn,,mg/L,CHEM
Fluid Protein,9,70265-4,https://loinc.org/70265-4,ACTIVE,Protein in pericardial fluid/Protein in serum,Prot Pcar/SerPl,1,Protein.pericard fld/Protein.serum,RelRto,Pt,Pericard fld+Ser/Plas,Qn,,Ratio,CHEM
Fluid Protein,10,48423-8,https://loinc.org/48423-8,ACTIVE,Protein Fractions [Interpretation] in Body fluid by Electrophoresis,Prot Pattern Fld Elph-Imp,1,Protein pattern,Imp,Pt,Body fld,Nom,Electrophoresis,,CHEM
Fluid Protein,11,57089-5,https://loinc.org/57089-5,ACTIVE,Eosinophil cationic protein (ECP) [Mass/volume] in Nasal fluid,ECP Nasal fluid-mCnc,1,Eosinophil cationic protein,MCnc,Pt,Nasal fluid,Qn,,ug/L,ALLERGY
Fluid Protein,12,34159-4,https://loinc.org/34159-4,ACTIVE,Tau protein [Presence] in Body fluid,Tau Prot Fld Ql,1,Tau protein,PrThr,Pt,Body fld,Ord,,,CHEM
Fluid Protein,13,47274-6,https://loinc.org/47274-6,ACTIVE,S100 calcium binding protein B [Mass/volume] in Cerebral spinal fluid,S100 Ca binding protein B CSF-mCnc,1,S100 calcium binding protein B,MCnc,Pt,CSF,Qn,,ug/L,CHEM
Fluid Protein,14,2858-9,https://loinc.org/2858-9,ACTIVE,Protein in CSF/Protein in serum,Prot CSF/SerPl,1,Protein.CSF/Protein.serum,RelRto,Pt,Ser+CSF,Qn,,Ratio,CHEM
Fluid Protein,15,12843-9,https://loinc.org/12843-9,ACTIVE,Protein [Mass/volume] in Peritoneal dialysis fluid,Prot DiafP-mCnc,1,Protein,MCnc,Pt,Dial fld prt,Qn,,g/L,CHEM
Fluid Protein,16,2879-5,https://loinc.org/2879-5,ACTIVE,Protein [Presence] in Cerebral spinal fluid,Prot CSF Ql,1,Protein,PrThr,Pt,CSF,Ord,,,CHEM
Fluid Protein,17,58463-1,https://loinc.org/58463-1,ACTIVE,Tau protein/Protein.total in Cerebral spinal fluid,Tau Prot MFr CSF,1,Tau protein/Protein.total,MFr,Pt,CSF,Qn,,%,CHEM
Fluid Protein,18,2880-3,https://loinc.org/2880-3,ACTIVE,Protein [Mass/volume] in Cerebral spinal fluid,Prot CSF-mCnc,1,Protein,MCnc,Pt,CSF,Qn,,g/L;mg/dL,CHEM
Fluid Protein,19,2886-0,https://loinc.org/2886-0,ACTIVE,Protein [Mass/volume] in Synovial fluid,Prot Snv-mCnc,1,Protein,MCnc,Pt,Synv fld,Qn,,g/L,CHEM
Fluid Protein,20,14387-5,https://loinc.org/14387-5,ACTIVE,Protein [Mass/volume] in Gastric fluid,Prot Gast-mCnc,1,Protein,MCnc,Pt,Gast fld,Qn,,g/dL,CHEM
Fluid Protein,21,77359-8,https://loinc.org/77359-8,ACTIVE,Protein [Mass/volume] in Saliva (oral fluid),Prot Sal-mCnc,1,Protein,MCnc,Pt,Saliva,Qn,,g/L,CHEM
Fluid Protein,22,5920-4,https://loinc.org/5920-4,ACTIVE,Protein [Mass/volume] in Dialysis fluid,Prot Dial fld-mCnc,1,Protein,MCnc,Pt,Dial fld,Qn,,g/L,CHEM
Fluid Protein,23,57733-8,https://loinc.org/57733-8,ACTIVE,Beta-trace protein [Mass/volume] in Body fluid,Beta-trace protein Fld-mCnc,1,Beta-trace protein,MCnc,Pt,Body fld,Qn,,mg/L,CHEM
Fluid Protein,25,12845-4,https://loinc.org/12845-4,ACTIVE,Protein [Mass/volume] in Peritoneal dialysis fluid --3rd specimen,Prot sp3 DiafP-mCnc,1,Protein^3rd specimen,MCnc,Pt,Dial fld prt,Qn,,g/dL,CHEM
Fluid Protein,26,12846-2,https://loinc.org/12846-2,ACTIVE,Protein [Mass/volume] in Peritoneal dialysis fluid --4th specimen,Prot sp4 DiafP-mCnc,1,Protein^4th specimen,MCnc,Pt,Dial fld prt,Qn,,g/dL,CHEM
Fluid Protein,27,12847-0,https://loinc.org/12847-0,ACTIVE,Protein [Mass/volume] in Peritoneal dialysis fluid --5th specimen,Prot sp5 DiafP-mCnc,1,Protein^5th specimen,MCnc,Pt,Dial fld prt,Qn,,g/dL,CHEM
Fluid Protein,28,12848-8,https://loinc.org/12848-8,ACTIVE,Protein [Mass/volume] in Peritoneal dialysis fluid --6th specimen,Prot sp6 DiafP-mCnc,1,Protein^6th specimen,MCnc,Pt,Dial fld prt,Qn,,g/dL,CHEM
Fluid Protein,29,12849-6,https://loinc.org/12849-6,ACTIVE,Protein [Mass/volume] in Peritoneal dialysis fluid --7th specimen,Prot sp7 DiafP-mCnc,1,Protein^7th specimen,MCnc,Pt,Dial fld prt,Qn,,g/dL,CHEM
Fluid Protein,30,12850-4,https://loinc.org/12850-4,ACTIVE,Protein [Mass/volume] in Peritoneal dialysis fluid --8th specimen,Prot sp8 DiafP-mCnc,1,Protein^8th specimen,MCnc,Pt,Dial fld prt,Qn,,g/dL,CHEM
Fluid Protein,31,72660-4,https://loinc.org/72660-4,ACTIVE,Beta-trace protein [Mass/volume] in Ear fluid,Beta-trace protein Ear fld-mCnc,1,Beta-trace protein,MCnc,Pt,Ear fluid,Qn,,mg/L,CHEM
Fluid Protein,32,49295-9,https://loinc.org/49295-9,ACTIVE,Protein Fractions [Interpretation] in Cerebral spinal fluid by Electrophoresis Narrative,Prot Pattern CSF Elph-Imp,1,Protein pattern,Imp,Pt,CSF,Nar,Electrophoresis,,CHEM
Fluid Protein,33,13439-5,https://loinc.org/13439-5,ACTIVE,Protein Fractions [Interpretation] in Cerebral spinal fluid by Electrophoresis,Prot Pattern CSF Elph-Imp,1,Protein pattern,Imp,Pt,CSF,Nom,Electrophoresis,,CHEM
Fluid Protein,34,2878-7,https://loinc.org/2878-7,ACTIVE,Protein [Mass/volume] in Amniotic fluid,Prot Amn-mCnc,1,Protein,MCnc,Pt,Amnio fld,Qn,,g/L;mg/dL,CHEM
Fluid Protein,35,33407-8,https://loinc.org/33407-8,ACTIVE,Protein [Mass/volume] in Pericardial fluid,Prot Pcar-mCnc,1,Protein,MCnc,Pt,Pericard fld,Qn,,g/L;g/dL,CHEM
Fluid Protein,36,101752-4,https://loinc.org/101752-4,ACTIVE,Tau protein/Tau protein.phosphorilated 181 [Mass Ratio] in Cerebral spinal fluid,Tau Prot/p-tau181 MRto  CSF,1,Tau protein/Tau protein.phosphorilated 181,MRto,Pt,CSF,Qn,,%,CHEM
Fluid Protein,37,2638-5,https://loinc.org/2638-5,ACTIVE,Myelin basic protein [Mass/volume] in Cerebral spinal fluid,MBP CSF-mCnc,1,Myelin basic protein,MCnc,Pt,CSF,Qn,,ng/mL,CHEM
Fluid Protein,38,55394-1,https://loinc.org/55394-1,ACTIVE,Protein and Glucose panel - Cerebral spinal fluid,Prot + Glucose Pnl CSF,1,Protein & Glucose panel,-,Pt,CSF,Qn,,,PANEL.CHEM
Fluid Protein,39,76665-9,https://loinc.org/76665-9,ACTIVE,Protein [Mass/volume] in Cerebral spinal fluid --1st tube,Prot tube1 CSF-mCnc,1,Protein^1st tube,MCnc,Pt,CSF,Qn,,g/L,CHEM
Fluid Protein,40,12844-7,https://loinc.org/12844-7,ACTIVE,Protein [Mass/volume] in Peritoneal dialysis fluid --2nd specimen,Prot sp2 DiafP-mCnc,1,Protein^2nd specimen,MCnc,Pt,Dial fld prt,Qn,,g/dL,CHEM
Fluid Protein,41,76666-7,https://loinc.org/76666-7,ACTIVE,Protein [Mass/volume] in Cerebral spinal fluid --2nd tube,Prot tube2 CSF-mCnc,1,Protein^2nd tube,MCnc,Pt,CSF,Qn,,g/mL,CHEM
Fluid Protein,42,76667-5,https://loinc.org/76667-5,ACTIVE,Protein [Mass/volume] in Cerebral spinal fluid --3rd tube,Prot tube3 CSF-mCnc,1,Protein^3rd tube,MCnc,Pt,CSF,Qn,,g/mL,CHEM
Fluid Protein,43,76668-3,https://loinc.org/76668-3,ACTIVE,Protein [Mass/volume] in Cerebral spinal fluid --4th tube,Prot tube4 CSF-mCnc,1,Protein^4th tube,MCnc,Pt,CSF,Qn,,g/mL,CHEM
Fluid Protein,44,30160-6,https://loinc.org/30160-6,ACTIVE,Tau protein [Mass/volume] in Cerebral spinal fluid,Tau Prot CSF-mCnc,1,Tau protein,MCnc,Pt,CSF,Qn,,pg/mL,CHEM
Fluid Protein,45,54246-4,https://loinc.org/54246-4,ACTIVE,Protein and Glucose panel [Mass/volume] - Body fluid,Prot + Glucose Pnl Fld-mCnc,1,Protein & Glucose panel,MCnc,Pt,Body fld,Qn,,,PANEL.CHEM
Fluid Protein,46,88698-6,https://loinc.org/88698-6,ACTIVE,Protein electrophoresis panel - Body fluid,Prot Elph Pnl Fld Elph,1,Protein fractions panel,-,Pt,Body fld,-,Electrophoresis,,PANEL.CHEM
Fluid Protein,47,48493-1,https://loinc.org/48493-1,ACTIVE,Beta-trace protein [Mass/volume] in Cerebral spinal fluid,Beta-trace protein CSF-mCnc,1,Beta-trace protein,MCnc,Pt,CSF,Qn,,mg/L,CHEM
Fluid Protein,48,24352-7,https://loinc.org/24352-7,ACTIVE,Protein electrophoresis panel - Cerebral spinal fluid,Prot Elph Pnl CSF,1,Protein fractions panel,-,Pt,CSF,Qn,,,PANEL.CHEM
Fluid Protein,49,101649-2,https://loinc.org/101649-2,ACTIVE,Tau protein [Mass/volume] in Cerebral spinal fluid by Immunoassay,Tau Prot CSF IA-mCnc,1,Tau protein,MCnc,Pt,CSF,Qn,IA,mg/dL,CHEM
Fluid Protein,50,35323-5,https://loinc.org/35323-5,ACTIVE,Protein [Mass/volume] in Body fluid --1st specimen post Sincalide,Prot sp1 p sincalide Fld-mCnc,1,Protein^1st specimen post dose sincalide,MCnc,Pt,Body fld,Qn,,g/dL,CHAL
24 Hours Microalbumin,1,58431-8,https://loinc.org/58431-8,ACTIVE,Microalbumin panel - 24 hour Urine,Microalbumin panel 24h Ur,1,Microalbumin panel,-,24H,Urine,-,,,PANEL.CHEM
24 Hours Microalbumin,2,58447-4,https://loinc.org/58447-4,ACTIVE,Microalbumin/Creatinine panel in 24H Urine,Microalbumin/creat Pnl 24H Ur,1,Microalbumin/Creatinine ratio panel,-,24H,Urine,Qn,,,PANEL.CHEM
24 Hours Microalbumin,3,30003-8,https://loinc.org/30003-8,ACTIVE,Microalbumin [Mass/volume] in 24 hour Urine,Microalbumin 24h Ur-mCnc,1,Albumin,MCnc,24H,Urine,Qn,Detection limit <= 20 mg/L,mg/L;mcg/mL,CHEM
24 Hours Microalbumin,4,14956-7,https://loinc.org/14956-7,ACTIVE,Microalbumin [Mass/time] in 24 hour Urine,Microalbumin 24h Ur-mRate,1,Albumin,MRat,24H,Urine,Qn,Detection limit <= 20 mg/L,ug/24 H,CHEM
24 Hours Microalbumin,5,59159-4,https://loinc.org/59159-4,ACTIVE,Microalbumin/Creatinine [Ratio] in 24 hour Urine,Microalbumin/Creat 24h Ur-Rto,1,Albumin/Creatinine,Ratio,24H,Urine,Qn,Detection limit <= 20 mg/L,mg/mmol creatinine,CHEM
24 Hours Microalbumin,6,53530-2,https://loinc.org/53530-2,ACTIVE,Microalbumin [Mass/volume] in 24 hour Urine by Detection limit <= 1.0 mg/L,Microalbumin 24h Ur DL<=1mg/L-mCnc,1,Albumin,MCnc,24H,Urine,Qn,Detection limit <= 1.0 mg/L,mg/dL,CHEM
24 Hours Microalbumin,7,53532-8,https://loinc.org/53532-8,ACTIVE,Microalbumin [Mass/time] in 24 hour Urine by Detection limit <= 1.0 mg/L,Microalbumin 24h Ur DL<=1mg/L-mRate,1,Albumin,MRat,24H,Urine,Qn,Detection limit <= 1.0 mg/L,ug/min,CHEM
24 Hours Microalbumin,8,90000-1,https://loinc.org/90000-1,ACTIVE,Microalbumin [Mass/time] in 24 hour Urine by Detection limit <= 3.0 mg/L,Microalbumin 24h Ur DL<=3.0 mg/L-mRate,1,Albumin,MRat,24H,Urine,Qn,Detection limit <= 3.0 mg/L,g/d,UA
